index,datetime,eq_ph,eq_cod,feed_vol,t1_olr,t1_ph,t1_cod,current,temp,methane_percentage,h2s_ppm,hrt,biogas_vol,fos,tac,fostac,f/m_ratio
9,7.6.22,5.5,14694,144,1.2,7.1,5074,1652,36.8,65.1,99,25,1232,1419,2663,0.53,0.47
10,8.6.22,5.3,15633,144,1.3,7.2,5074,1652,36.8,68,1045,25,1019,963,2863,0.34,0.5
11,9.6.22,5.2,11950,144,1,7.3,5074,1652,36.8,70.9,879,25,1005,465,3113,0.15,0.38
12,10.6.22,5.2,14399,192,1.5,7.3,3340,1652,34.8,65.7,983,19,892,548,2813,0.19,0.61
13,11.6.22,,14399,192,1.5,,3340,1652,,65.7,,19,1100,,,,0.61
14,12.6.22,,14399,192,1.5,,3340,1652,,65.7,,19,1100,,,,0.61
15,13.6.22,5,14399,240,1.9,7.1,3340,2243,32.3,63,1084,11,1100,1585,2500,0.63,0.77
16,14.6.22,5.1,14399,240,1.9,7.1,3340,2255,33.6,61.5,1144,11,1224,672,2425,0.28,0.77
17,15.6.22,5.5,11080,240,1.5,6.9,3340,2264,34.7,60.5,1171,11,1186,755,2125,0.36,0.59
18,16.6.22,5.4,14825,240,2,7,3770,2312,36.1,62.5,1096,11,1163,797,2250,0.35,0.79
19,17.6.22,5.6,14662,240,2,7.1,3045,2276,34.8,63.8,1130,11,1152,838,2250,0.37,0.78
20,18.6.22,,14662,240,2,,3045,2276,,63.8,,11,993,,,,0.78
21,19.6.22,,14662,240,2,,3045,2276,,63.8,,11,993,,,,0.78
22,20.6.22,5.4,12851,240,1.7,7.2,3045,2276,32.8,71.2,954,11,993,340,2533,0.134228187919463,0.69
23,21.6.22,5.5,15399,384,3.3,7,3045,2150,34,65.6,1093,5,781,838,2200,0.38,1.31
24,22.6.22,5.3,19873,384,4.2,6.5,3045,2120,33,51.6,1942,5,1254,2000,1550,1.29,1.7
25,23.6.22,5.5,21008,0,,6.7,3045,1917,35,58.7,1858,,1279,1834,1581,1.16,
26,24.6.22,6.5,21008,96,1.1,7.1,3045,2283,35.3,70,1485,19,697,1357,1875,0.72,0.45
27,25.6.22,,21008,96,1.1,,3045,2283,,70,,19,732,,,,0.45
28,26.6.22,,21008,96,1.1,,3045,2283,,70,,19,732,,,,0.45
29,27.6.22,6.2,15043,240,2,7.3,3045,2298,34.7,72.6,976,8,732,406,2683,0.15,0.8
30,28.6.22,6.5,14430,240,1.9,7.1,3045,2108,34.2,64.7,1203,8,757,1046,2488,0.42,0.77
31,29.6.22,6.3,14189,336,2.6,7,3045,1876,33.7,62.8,1409,5,940,1595,2550,0.63,1.06
32,30.6.22,6.3,17394,336,3.2,7.1,3045,1915,34,63.9,1348,5,1078,1855,2563,0.72,1.3
33,1.7.22,6,22477,336,4.2,6.9,3045,1523,34.1,60.3,1666,5,1387,2405,2313,1.04,1.68
34,2.7.22,,22477,336,4.2,,3045,1523,,60.3,,5,1307,,,,1.68
35,3.7.22,,22477,56,0.7,,3045,1523,,60.3,,32,1307,,,,0.28
36,4.7.22,5.9,20300,112,1.3,7.2,3045,1844,32.8,72.5,1189,16,1307,2664,2775,0.96,0.51
37,5.7.22,5.7,19201,240,2.6,7.3,3045,2260,34.2,70.9,1102,8,1283,1502,3275,0.46,1.02
38,6.7.22,5.8,20032,240,2.7,7.3,3045,2264,34.6,69.8,1144,8,1180,1336,3275,0.41,1.07
39,7.7.22,6,17706,288,2.8,7.4,3045,2349,35,69.6,1063,6,1162,1062,3458,0.31,1.13
40,8.7.22,6.1,17461,288,2.8,7.2,3045,2423,34.7,68.1,1068,6,1103,1087,3325,0.33,1.12
41,9.7.22,,17461,288,2.8,,3045,2423,,68.1,,6,887,,,,1.12
42,10.7.22,,17461,216,2.1,,3045,2423,,68.1,,8,887,,,,0.84
43,11.7.22,6.2,19194,156,1.7,7.4,1761,2079,34.8,74.2,744,12,887,639,3718,0.17,0.67
44,12.7.22,6.25,19389,288,3.1,7.3,1761,2110,34.2,66.5,985,6,933,1004,3463,0.29,1.24
45,13.7.22,6.25,16542,288,2.6,7.4,1761,2321,34.7,68.7,935,6,1048,1004,3133,0.32,1.06
46,14.7.22,6.3,15327,288,2.5,7.35,1761,2306,35,68.5,959,6,1075,1046,3363,0.31,0.98
47,15.7.22,5.9,16614,288,2.7,7.3,1761,2385,34.7,69.7,831,6,975,1195,3375,0.35,1.06
48,16.7.22,,16614,288,2.7,,1761,2385,,69.7,,6,935,,,,1.06
49,17.7.22,,16614,192,1.8,,1761,2385,,69.7,,9,935,,,,0.71
50,18.7.22,6,16943,168,1.6,7.65,1761,2147,35.2,76.6,528,11,935,423,3858,0.11,0.63
51,19.7.22,6,15559,288,2.5,7.3,1761,2877,35.1,67.3,663,6,930,838,3600,0.23,1
52,20.7.22,6.05,15070,288,2.4,7.35,1761,2708,35.2,68.5,661,6,1071,838,3450,0.24,0.96
53,21.7.22,5.8,15811,288,2.5,7.4,1761,2365,35.1,68.8,606,6,1016,1004,3450,0.29,1.01
54,22.7.22,5.95,14456,288,2.3,7.3,1761,2322,35.5,70.4,578,6,1061,921,3375,0.27,0.93
55,23.7.22,,14456,288,2.3,,1761,2322,,70.4,,6,1094,,,,0.93
56,24.7.22,,14456,288,2.3,,1761,2322,,70.4,,6,1094,,,,0.93
57,25.7.22,5.69,16762,384,3.6,7.39,2644,2257,34.8,72.4,578,5,1094,1046,3313,0.32,1.43
58,26.7.22,5.6,13909,384,3,7.24,2644,1353,34.8,66.9,894,5,1188,1236,3263,0.38,1.19
59,27.7.22,6.01,15469,384,3.3,7.18,2644,2466,34.3,67.7,787,5,1388,1336,3100,0.43,1.32
60,28.7.22,6.2,19901,384,4.2,7.13,2644,2569,34.4,67.3,758,5,1327,1336,3138,0.43,1.7
61,29.7.22,5.1,19421,288,3.1,6.9,2644,2571,35.3,60.2,924,6,1994,1809,2783,0.65,1.24
62,30.7.22,,19421,288,3.1,,2644,2571,,60.2,,6,1836,,,,1.24
63,31.7.22,,19421,288,3.1,,2644,2571,,60.2,,6,1836,,,,1.24
64,1.8.22,5.8,14797,384,3.2,7.3,2644,2247,35.5,67.7,629,5,1836,1170,3125,0.37,1.26
65,2.8.22,6.4,18460,384,3.9,7.1,2644,2376,35.2,66.1,640,5,1823,1286,2983,0.43,1.58
66,3.8.22,6.5,17874,384,3.8,7.1,2644,2095,35.3,67,575,5,1804,1552,2993,0.52,1.53
67,4.8.22,6.4,18607,384,4,7.2,2644,1200,35.3,67.3,614,5,2123,1751,2993,0.59,1.59
68,5.8.22,6.8,15504,384,3.3,7.3,3682,2001,35.1,68.3,591,5,1920,1643,3025,0.54,1.32
69,6.8.22,,15504,384,3.3,,3682,2001,,68.3,,5,1387,,,,1.32
70,7.8.22,,15504,384,3.3,,3682,2001,,68.3,,5,1387,,,,1.32
71,8.8.22,6.3,14381,384,3.1,7.1,3682,936,34.7,65.4,688,5,1387,871,3283,0.27,1.23
72,9.8.22,5.3,14025,216,3.4,7.4,3682,1977,35,67.8,614,4.2,1523,979,3383,0.29,0.67
73,10.8.22,6.5,13259,288,4.2,7.3,4754,2296,34.2,70.9,450,3.1,1454,871,3333,0.26,0.85
74,11.8.22,6,16081,288,5.1,7.3,4754,2436,34.8,75.3,177,3.1,1247,1145,3375,0.34,0.78
75,12.8.22,6.9,17914,252,5,7.1,4754,2448,35.2,65.4,350,3.6,1688,1751,2758,0.63,0.76
76,13.8.22,,17914,252,5,,4754,2448,,65.4,,3.6,1287,,,,0.76
77,14.8.22,,17914,252,5,,4754,2448,,65.4,,3.6,1287,,,,0.76
78,15.8.22,6,14112,252,4,7.7,4754,1256,35.6,82,58,3.6,1287,465,4763,0.1,0.6
79,16.8.22,6.4,14235,252,4,7.2,4754,2599,34.2,69.4,179,3.6,959,1311,3750,0.35,0.78
80,17.8.22,6.8,13825,288,4.4,7.3,7397,2050,33.9,72,265,3.1,1557,1361,3768,0.36,0.87
81,18.8.22,6.5,20549,216,4.9,7.1,7397,1227,33.6,65.4,459,4.2,1828,1917,3543,0.54,0.48
82,19.8.22,6.8,20332,216,4.9,7.3,7397,1896,34.1,67,480,4.2,2007,1942,3600,0.54,0.48
83,20.8.22,,20332,216,4.9,,7397,1896,,67,,4.2,2241,,,,0.48
84,21.8.22,,20332,216,4.9,,7397,1896,,67,,4.2,2241,,,,0.48
85,22.8.22,5.3,20176,216,4.8,7.3,7397,2720,33.7,67,273,4.2,2241,2274,3618,0.63,0.47
86,23.8.22,5.5,20570,216,4.9,7.3,7397,1873,33.9,66.8,224,4.2,2177,1867,3558,0.52,0.47
87,24.8.22,6,19188,216,4.6,7.2,4823,2351,33.9,69.7,214,4.2,1951,1610,3593,0.45,0.44
88,25.8.22,6.4,17330,240,4.6,7.3,4823,2354,34,71.9,194,3.8,2074,1303,3718,0.35,0.63
89,26.8.22,7.1,15843,240,4.2,7.5,4823,875,34.5,76.5,130,3.8,492,531,4325,0.12,0.58
90,27.8.22,,15843,240,4.2,,4823,875,,76.5,,3.8,1287,,,,0.58
91,28.8.22,,15843,0,,,4823,875,,76.5,,,1287,,,,
92,29.8.22,,15843,0,,,4823,875,,76.5,,,1287,,,,
93,30.8.22,7.47,15715,240,4.2,7.619,4823,349,34.6,75.6,96,3.8,1287,651,5631,0.12,0.46
94,31.8.22,6.76,13700,240,3.7,7.689,2539,349,34.6,73.8,118,3.8,298,606,5658,0.11,0.4
95,1.9.22,6.67,13700,240,3.7,7.701,2539,706,34.6,73.7,160,3.8,254,672,5575,0.12,0.85
96,2.9.22,,11358,120,1.5,7.625,2539,240,34.7,73.6,7,7.5,279,705,5608,0.13,0.35
97,3.9.22,,11358,240,3,,2539,240,,73.6,,3.8,1322,,,,0.7
98,4.9.22,,11358,240,3,,2539,240,,73.6,,3.8,1322,,,,0.7
99,5.9.22,5.41,11358,288,3.6,7.27,2539,575,33.5,73.1,261,3.1,1322,1452,4058,0.36,0.85
100,6.9.22,6.02,16024,288,5.1,7.35,2539,2515,33.5,69.8,222,3.1,2015,1544,3725,0.41,1.03
101,7.9.22,5.8,13866,288,4.4,7.3,2539,2515,33.5,74.6,231,3.1,1736,1378,3638,0.38,0.89
102,8.9.22,6.5,15835,288,5.1,7.65,4758,2515,33.4,73.1,116,3.1,1351,1336,3575,0.37,0.73
103,9.9.22,6.5,12372,288,4,7.3,4758,2515,33.4,72,232,3.1,1447,1361,3683,0.37,0.57
104,10.9.22,,12372,288,4,,4758,2515,,72,,3.1,1392,,,,0.57
105,11.9.22,,12372,288,4,,4758,2515,,72,,3.1,1392,,,,0.57
106,12.9.22,6.2,13844,288,4.4,7.496,4989,3675,33.5,69.2,431,3.1,1392,921,3338,0.28,4.92
107,13.9.22,,13844,288,4.4,,4989,3675,,69.2,,3.1,1681.5,,,,4.92
108,14.9.22,6.9,13908,400,6.2,7.244,6132,2888,33.5,70.2,425,2.3,1681.5,880,3050,0.29,1.58
109,15.9.22,,13908,400,6.2,,6132,2888,,70.2,,2.3,1761,,,,1.58
110,16.9.22,6.58,15422,400,6.9,7.2,6132,3990,31.2,69.9,308,2.3,1761,1461,3063,0.48,1.76
111,17.9.22,,15422,400,6.9,,6132,3990,,69.9,,2.3,2088,,,,1.76
112,18.9.22,,15422,400,6.9,,6132,3990,,69.9,,2.3,2088,,,,1.76
113,19.9.22,,15422,400,6.9,,6132,3990,,69.9,,2.3,2088,,,,1.76
114,20.9.22,5.1,9706,400,4.3,6.86,2158,3990,31.1,68,480,2.3,2088,1046,1925,0.54,10.78
115,21.9.22,7.16,9073,400,4,7.18,4349,3399,30.1,71.2,488,2.3,1569,672,2375,0.28,10.08
116,22.9.22,,9073,400,4,,4349,3399,,71.2,,2.3,1952,,,,10.08
117,23.9.22,6.53,19065,400,8.5,6.89,6389,2801,31.4,63.2,1024,2.3,1952,1419,2075,0.68,2.09
118,24.9.22,,19065,400,8.5,,6389,2801,,63.2,,2.3,2878,,,,2.09
119,25.9.22,,19065,400,8.5,,6389,2801,,63.2,,2.3,2878,,,,2.09
120,26.9.22,6.45,16956,400,7.5,7,6909,2537,30.7,67.4,802,2.3,2878,1295,1813,0.71,1.86
121,27.9.22,,16956,400,7.5,,6909,2537,,67.4,,2.3,2493,,,,1.86
122,28.9.22,6.75,11627,400,5.2,7.52,5006,2696,30.1,72.9,470,2.3,2493,1212,2350,0.52,1.61
123,29.9.22,,11627,400,5.2,,5006,2696,,72.9,,2.3,2029,,,,1.61
124,30.9.22,6.6,16971,400,7.5,7.06,5377,2519,30.1,66.7,533,2.3,2029,1253,2663,0.47,2.22
125,1.10.22,,16971,400,7.5,,5377,2519,,66.7,,2.3,2660,,,,2.22
126,2.10.22,,16971,400,7.5,,5377,2519,,66.7,,2.3,2660,,,,2.22
127,3.10.22,4.99,15485,360,6.2,7.15,5107,2400,31.4,66.7,513,2.5,2660,1336,2775,0.48,2.06
128,4.10.22,,15485,360,6.2,,5107,2400,,66.7,,2.5,2326,,,,2.06
129,5.10.22,6.65,14144,450,7.1,7.08,4679,2195,31.9,66.6,639,2,2326,971,2400,0.4,4.16
130,6.10.22,,14144,450,7.1,,4679,2195,,66.6,,2,2273,,,,4.16
131,7.10.22,6.93,15455,450,7.7,7.06,6981,1560,31.3,65.7,861,2,2273,1544,2538,0.61,1.98
132,8.10.22,,15455,450,7.7,,6981,2413,,65.7,,2,2453,,,,1.98
133,9.10.22,,15455,450,7.7,,6981,2413,,65.7,,2,2453,,,,1.98
134,10.10.22,6.88,9498,450,4.7,7.22,2963,2413,29.3,68.9,920,2,2453,1025,2675,0.38,1.56
135,11.10.22,,9498,450,4.7,,2963,2413,,68.9,,2,2316.5,0,0,,1.56
136,12.10.22,6.72,11123,500,6.2,7.05,5147,2552,29.1,66.7,795,1.8,2316.5,1170,2513,0.47,2.17
137,13.10.22,,11123,500,6.2,,5147,2552,,66.7,,1.8,3127.5,0,0,,2.17
138,14.10.22,6.78,14988,500,8.3,7.03,7296,2421,30.3,67,881,1.8,3127.5,1710,2213,0.77,2.49
139,15.10.22,,14988,500,8.3,,7296,2421,,67,,1.8,2377,,,,2.49
140,16.10.22,,14988,500,8.3,,7296,2421,,67,,1.8,2377,,,,2.49
